Portfolio,Excess Return,Excess Return t-stat,CAPM Alpha,CAPM Alpha t-stat,CAPM R²,Three Factor Alpha,Three Factor Alpha t-stat,Three Factor R²,Four Factor Alpha,Four Factor Alpha t-stat,Four Factor R²,Beta (Ex-Ante),Volatility,Sharpe Ratio
Return_0,0.00903398173754477,3.120328420147434,0.009175902479245402,3.046662629935343,0.00031319816194486094,0.0095178885932264,3.1893979264030845,0.0292260844446538,0.00953416974998145,3.197341629056144,0.03466528470213215,0.8656947406447119,0.047041467884413185,0.665256254440203
Return_1,0.011174250520194324,4.021753596225876,0.011414366153398955,3.950452099641468,0.0009734647876914471,0.01166960455150955,4.073040997134983,0.02841476039237545,0.011682765889131955,4.077468172749228,0.0322741311930147,1.6095650115236821,0.04514450634383595,0.8574407477211091
Return_2,0.01047594651914505,3.35051250749996,0.011115714357896551,3.4263368470737308,0.005457151537038518,0.011470578380619718,3.5725573865593567,0.0364811163025105,0.011482007790746398,3.573125760656495,0.03877941204306723,1.8098173872842362,0.05080237226748977,0.714331666757424
Return_3,0.011599640264607749,3.573502549149214,0.011988787061401307,3.55319012362952,0.0018733172586760105,0.012314428965423434,3.6709558091868826,0.024153573439575915,0.012316991867032123,3.6644717558558253,0.024260795797781953,1.9833316646413057,0.05274148916562035,0.7618733033772123
Return_4,0.01165372882517524,3.310550215155341,0.012122888155490848,3.3138371219398364,0.0023152426924253344,0.012533138821191721,3.4605836156945977,0.032828186217913946,0.012543416567719276,3.45901751950227,0.03429437092505594,2.0956782977343584,0.05719613621900268,0.7058116774023389
Return_5,0.011313547619049718,3.0268060965115993,0.011802696670195251,3.03835670302529,0.0022322317247394086,0.012163649829530304,3.1643825423898995,0.03365206561478251,0.012167591603338452,3.1592985450813442,0.033843349029975434,2.2693952838942684,0.06073180271162139,0.6453172280458018
Return_6,0.011998878775691198,3.022537249811394,0.012488657510099381,3.0266657507985966,0.0019840248392783977,0.012886436107736425,3.1471274234844233,0.027899716598776214,0.012890982451305192,3.1422150271151343,0.02812530087946652,2.42007526684648,0.06450167123159148,0.6444071068713058
Return_7,0.010168301234148684,2.2850472938923376,0.010544550531644107,2.2785772381054743,0.000931816160029797,0.010938387341744873,2.378554802290173,0.0241435571400741,0.010951004967714437,2.3781527788906107,0.025526394849359035,2.6141280428703078,0.07230280962405612,0.48717371996429537
Return_8,0.008486038902441654,1.8015482402673917,0.008711069627324333,1.7777202730055384,0.0002974751256255015,0.00918438260601085,1.88714032160295,0.024594087035465395,0.009192234782112004,1.8853837023247104,0.025072038892391624,2.931144247532923,0.07653517613987218,0.38409137537419724
Return_9,0.006229184888171985,1.0166312544268534,0.006783305297841214,1.0646127417826252,0.0010660020216917143,0.00727376333045476,1.1447040087876255,0.017328232252664777,0.007301436470475233,1.148780312768943,0.02083658852325687,4.141698027010015,0.09955652463117988,0.21674651171330797
